"","TaxonoriginalDN","Taxonsimplified_DN","name","Acceptedname_ALA","name2.x","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","original","name2.y","name3"
"463","Eucalyptus prominens","Eucalyptus prominens","eucalyptus prominens","Eucalyptus prominens","eucalyptus prominens","","Species ","D.Nicolle",1184,"Cape Range, WA",22,7,1,114,2,27,69,1,"Dead","","","","","","","","","","","",1995,"Eucalyptus_prominens_373","eucalyptus_prominens","eucalyptus_prominens"
"464","Eucalyptus propinqua","Eucalyptus propinqua","eucalyptus propinqua","Eucalyptus propinqua","eucalyptus propinqua","","Species ","D.Nicolle",1239,"Telegraph Point, NSW",31,16,59,152,48,49,95,21,"Alive","Moderate","Slight","?","None evident","","","","","Severe","Flowered","Flowered",1996,"Eucalyptus_propinqua_696","eucalyptus_propinqua","eucalyptus_propinqua"
"465","Eucalyptus protensa","Eucalyptus protensa","eucalyptus protensa","Eucalyptus protensa","eucalyptus protensa","","Species ","D.Nicolle",126,"Newman Rock, WA",32,5,51,123,6,51,13,10,"Alive","None evident","None evident","?","","","","","","None evident","","",1993,"Eucalyptus_protensa_14","eucalyptus_protensa","eucalyptus_protensa"
"466","Eucalyptus proxima","Eucalyptus proxima","eucalyptus proxima","Eucalyptus proxima","eucalyptus proxima","","Species","D.Nicolle",3571,"Desmond, WA",33,38,16,120,9,1,236,2,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"Eucalyptus_proxima_432","eucalyptus_proxima","eucalyptus_proxima"
"467","Eucalyptus pruinosa subsp. pruinosa","Eucalyptus pruinosa subsp. pruinosa","eucalyptus pruinosa subsp. pruinosa","Eucalyptus pruinosa subsp. pruinosa","eucalyptus pruinosa subsp. pruinosa","","Subspecies","D.Nicolle",1329,"Coolullah, Qld",19,53,30,140,12,26,89,8,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"Eucalyptus_pruinosa_subsp_pruinosa_Mt_Annan_841760","eucalyptus_pruinosa_subsp._pruinosa","eucalyptus_pruinosa_subsp_pruinosa"
"468","Eucalyptus pterocarpa ","Eucalyptus pterocarpa","eucalyptus pterocarpa","Eucalyptus pterocarpa","eucalyptus pterocarpa","","Species ","D.Nicolle",137,"Norseman, WA",32,9,5,121,38,22,43,34,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"Eucalyptus_pterocarpa_8","eucalyptus_pterocarpa","eucalyptus_pterocarpa"
"469","Eucalyptus pulchella","Eucalyptus pulchella","eucalyptus pulchella","Eucalyptus pulchella","eucalyptus pulchella","","Species ","D.Nicolle",1984,"Nugent, Tas",42,45,24,147,49,16,152,26,"Alive","Severe","Moderate","?","Extensive","Trunk + primary, secondary & tertiary branches","3 - 6 months","Slight","","Moderate","Flowered","Flowered",1998,"Eucalyptus_pulchella_612","eucalyptus_pulchella","eucalyptus_pulchella"
"470","Eucalyptus pulverulenta","Eucalyptus pulverulenta","eucalyptus pulverulenta","Eucalyptus pulverulenta","eucalyptus pulverulenta","","Species ","D.Nicolle",1226,"Lithgow, NSW",33,32,51,150,6,36,94,13,"Alive","Severe","Moderate","??","None evident","","","","6 - 12 months","Severe","","",1996,"Eucalyptus_pulverulenta_684","eucalyptus_pulverulenta","eucalyptus_pulverulenta"
"471","Eucalyptus pumila","Eucalyptus pumila","eucalyptus pumila","Eucalyptus pumila","eucalyptus pumila","","Species ","D.Nicolle",636,"Pokolbin, NSW",32,46,34,151,15,37,53,31,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"Eucalyptus_pumila_227","eucalyptus_pumila","eucalyptus_pumila"
"472","Eucalyptus purpurata","Eucalyptus purpurata","eucalyptus purpurata","Eucalyptus purpurata","eucalyptus purpurata","","Species ","D.Nicolle",3579,"Bandalup Hill 1, WA",33,40,7,120,24,3,233,22,"Alive","Moderate","Moderate","?","Extensive","Trunk + primary & secondary branches","3 - 6 months","Slight","","None evident","Flowered","Flowered",2001,"Eucalyptus_purpurata_83","eucalyptus_purpurata","eucalyptus_purpurata"
"473","Eucalyptus pyriformis","Eucalyptus pyriformis","eucalyptus pyriformis","Eucalyptus pyriformis","eucalyptus pyriformis","","Species ","D.Nicolle",1660,"Dowerin, WA",31,12,49,117,0,16,133,13,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"Eucalyptus_pyriformis_268","eucalyptus_pyriformis","eucalyptus_pyriformis"
"474","Eucalyptus pyrocarpa","Eucalyptus pyrocarpa","eucalyptus pyrocarpa","Eucalyptus pyrocarpa","eucalyptus pyrocarpa","","Species ","D.Nicolle",2093,"Coast Range, NSW",29,47,20,153,11,5,159,5,"Dead","","","","","","","","","Died in 2006","","",1998,"Eucalyptus_pyrocarpa_630205","eucalyptus_pyrocarpa","eucalyptus_pyrocarpa"
"475","Eucalyptus quadrangulata","Eucalyptus quadrangulata","eucalyptus quadrangulata","Eucalyptus quadrangulata","eucalyptus quadrangulata","","Species ","D.Nicolle",618,"Mittagong, NSW",34,24,20,150,30,10,55,3,"Alive","Moderate","Moderate","?","None evident","","","","","Moderate","Flowered","Flowered",1994,"Eucalyptus_quadrangulata_234","eucalyptus_quadrangulata","eucalyptus_quadrangulata"
"476","Eucalyptus quadrans","Eucalyptus quadrans","eucalyptus quadrans","Eucalyptus quadrans","eucalyptus quadrans","","Species ","D.Nicolle",1099,"Truslove, WA",33,22,3,121,41,36,73,20,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"Eucalyptus_quadrans_384","eucalyptus_quadrans","eucalyptus_quadrans"
"477","Eucalyptus quadricostata","Eucalyptus quadricostata","eucalyptus quadricostata","Eucalyptus quadricostata","eucalyptus quadricostata","","Species ","D.Nicolle",2533,"Pentland, Qld",20,28,50,145,18,58,170,6,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1999,"Eucalyptus_quadricostata_8603516","eucalyptus_quadricostata","eucalyptus_quadricostata"
"478","Eucalyptus quaerenda","Eucalyptus quaerenda","eucalyptus quaerenda","Eucalyptus quaerenda","eucalyptus quaerenda","","Species ","D.Nicolle",237,"Chinocup Lake, WA",33,32,1,118,23,34,20,7,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_quaerenda_CANB_794294","eucalyptus_quaerenda","eucalyptus_quaerenda"
"479","Eucalyptus racemosa","Eucalyptus racemosa","eucalyptus racemosa","Eucalyptus racemosa","eucalyptus racemosa","","Species ","D.Nicolle",718,"Beerwah, Qld",26,48,9,152,59,0,53,1,"Dead","","","","","","","","","Died in 2006","","",1994,"Eucalyptus_racemosa_732766","eucalyptus_racemosa","eucalyptus_racemosa"
"480","Eucalyptus radiata subsp. radiata (Tas variant)","Eucalyptus radiata subsp. radiata","eucalyptus radiata subsp. radiata","Eucalyptus radiata subsp. radiata","eucalyptus radiata subsp. radiata","","Subspecies","D.Nicolle",1959,"Lemon Thyme PS, Tas",41,36,31,146,8,9,162,5,"Dead","","","","","","","","","Died in 2006","","",1998,"Eucalyptus_radiata_subsp_radiata_732","eucalyptus_radiata_subsp._radiata","eucalyptus_radiata_subsp_radiata"
"481","Eucalyptus rameliana","Eucalyptus rameliana","eucalyptus rameliana","Eucalyptus rameliana","eucalyptus rameliana","","Species ","D.Nicolle",4287,"Mt Methwin, WA",25,4,46,120,36,13,199,38,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2002,"Eucalyptus_rameliana_648","eucalyptus_rameliana","eucalyptus_rameliana"
"482","Eucalyptus raveretiana","Eucalyptus raveretiana","eucalyptus raveretiana","Eucalyptus raveretiana","eucalyptus raveretiana","","Species ","D.Nicolle",1297,"Reid River, Qld",19,49,19,146,47,25,94,15,"Alive","Moderate","Moderate","?","None evident","","","","","None evident","","",1996,"Eucalyptus_raveretiana_685","eucalyptus_raveretiana","eucalyptus_raveretiana"
"483","Eucalyptus ravida","Eucalyptus ravida","eucalyptus ravida","Eucalyptus ravida","eucalyptus ravida","","Species ","D.Nicolle",134,"Mt Norcott, WA",32,5,38,122,1,36,13,18,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_ravida_458","eucalyptus_ravida","eucalyptus_ravida"
"484","Eucalyptus recta","Eucalyptus recta","eucalyptus recta","Eucalyptus recta","eucalyptus recta","","Species ","D.Nicolle",294,"Cadoux, WA",30,46,42,117,10,24,25,14,"Alive","None evident","Moderate","??","Moderate","Secondary & tertiary branches","3 - 6 months","Moderate","","None evident","Flowered","Flowered",1993,"Eucalyptus_recta_751","eucalyptus_recta","eucalyptus_recta"
"485","Eucalyptus recurva","Eucalyptus recurva","eucalyptus recurva","Eucalyptus recurva","eucalyptus recurva","","Species ","D.Nicolle",1755,"Mongarlowe, NSW",35,22,51,149,57,6,246,11,"Alive","Slight","Moderate","?","None evident","","","","","Not applicable","","",2002,"Eucalyptus_recurva_ANBG","eucalyptus_recurva","eucalyptus_recurva"
"486","Eucalyptus regnans","Eucalyptus regnans","eucalyptus regnans","Eucalyptus regnans","eucalyptus regnans","","Species ","D.Nicolle",1973,"Tarraleah, Tas",42,21,41,146,30,4,157,13,"Dead","","","","","","","","","","","",1998,"Eucalyptus_regnans_ANBG_8501815","eucalyptus_regnans","eucalyptus_regnans"
"487","Eucalyptus remota","Eucalyptus remota","eucalyptus remota","Eucalyptus remota","eucalyptus remota","","Species ","D.Nicolle",812,"Kangaroo Island, SA",35,54,21,136,48,51,69,38,"Alive","Dead","","","","","","","1 - 2 years","Severe","","",1995,"Eucalyptus_remota_ANBG_9807783","eucalyptus_remota","eucalyptus_remota"
"488","Eucalyptus retusa","Eucalyptus retusa","eucalyptus retusa","Eucalyptus retusa","eucalyptus retusa","","Species ","D.Nicolle",4801,"Point Hood, WA",34,23,NA,119,34,NA,210,16,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2006,"Eucalyptus_retusa_726","eucalyptus_retusa","eucalyptus_retusa"
"489","Eucalyptus rhodantha","Eucalyptus rhodantha","eucalyptus rhodantha","Eucalyptus rhodantha","eucalyptus rhodantha","","Species ","D.Nicolle",282,"Watheroo, WA",30,15,46,116,6,58,10,21,"Dead","","","","","","","","","","","",1993,"Eucalyptus_rhodantha_374","eucalyptus_rhodantha","eucalyptus_rhodantha"
"490","Eucalyptus rhombica","Eucalyptus rhombica","eucalyptus rhombica","Eucalyptus rhombica","eucalyptus rhombica","","Species ","D.Nicolle",2104,"Karara, Qld",28,7,43,151,30,56,150,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1998,"Eucalyptus_rhombica_596","eucalyptus_rhombica","eucalyptus_rhombica"
"491","Eucalyptus rhomboidea","Eucalyptus rhomboidea","eucalyptus rhomboidea","Eucalyptus rhomboidea","eucalyptus rhomboidea","","Species ","D.Nicolle",2272,"Bremer Range, WA",32,33,57,120,45,8,177,21,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1999,"Eucalyptus_rhomboidea_476","eucalyptus_rhomboidea","eucalyptus_rhomboidea"
"492","Eucalyptus rigens","Eucalyptus rigens","eucalyptus rigens","Eucalyptus rigens","eucalyptus rigens","","Species ","D.Nicolle",157,"Truslove, WA",33,20,55,121,46,0,24,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_rigens_76","eucalyptus_rigens","eucalyptus_rigens"
"493","Eucalyptus rigidula","Eucalyptus rigidula","eucalyptus rigidula","Eucalyptus rigidula","eucalyptus rigidula","","Species ","D.Nicolle",244,"Corrigin, WA",32,19,55,117,50,48,45,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"Eucalyptus_rigidula_201","eucalyptus_rigidula","eucalyptus_rigidula"
"494","Eucalyptus risdonii","Eucalyptus risdonii","eucalyptus risdonii","Eucalyptus risdonii","eucalyptus risdonii","","Species ","D.Nicolle",1982,"Risdon Hills, Tas",42,49,22,147,20,8,154,19,"Alive","Dead","","","","","","","6 - 12 months","None evident","Flowered","Flowered",1998,"Eucalyptus_risdonii_620","eucalyptus_risdonii","eucalyptus_risdonii"
"495","Eucalyptus rodwayi","Eucalyptus rodwayi","eucalyptus rodwayi","Eucalyptus rodwayi","eucalyptus rodwayi","","Species ","D.Nicolle",1972,"Derwent Bridge, Tas",42,8,54,146,24,38,157,21,"Dead","","","","","","","","","","","",1998,"Eucalyptus_rodwayi_62705","eucalyptus_rodwayi","eucalyptus_rodwayi"
"496","Eucalyptus rosacea","Eucalyptus rosacea","eucalyptus rosacea","Eucalyptus rosacea","eucalyptus rosacea","","Species ","D.Nicolle",518,"Lake Minigwal, WA",30,12,35,123,6,25,82,7,"Alive","None evident","None evident","?","","","","","","None evident","","",1998,"Eucalyptus_rosacea_645","eucalyptus_rosacea","eucalyptus_rosacea"
"497","Eucalyptus roycei","Eucalyptus roycei","eucalyptus roycei","Eucalyptus roycei","eucalyptus roycei","","Species ","D.Nicolle",1175,"Coburn Station, WA",26,42,10,114,10,57,63,21,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"Eucalyptus_roycei_328","eucalyptus_roycei","eucalyptus_roycei"
"498","Eucalyptus rubida subsp. rubida","Eucalyptus rubida subsp. rubida","eucalyptus rubida subsp. rubida","Eucalyptus rubida subsp. rubida","eucalyptus rubida subsp. rubida","","Subspecies","D.Nicolle",1223,"Bathurst, NSW",33,26,7,149,21,30,91,23,"Dead","","","","","","","","","Died in 2006","","",1996,"Eucalyptus_rubida_subsp_rubida_ANBG_732895","eucalyptus_rubida_subsp._rubida","eucalyptus_rubida_subsp_rubida"
"499","Eucalyptus rubiginosa","Eucalyptus rubiginosa","eucalyptus rubiginosa","Eucalyptus rubiginosa","eucalyptus rubiginosa","","Species ","D.Nicolle",2114,"Isla Gorge, Qld",25,11,30,149,58,22,84,12,"Alive","None evident","None evident","?","","","","","","None evident","","",1998,"Eucalyptus_rubiginosa_654","eucalyptus_rubiginosa","eucalyptus_rubiginosa"
"500","Eucalyptus rudderi","Eucalyptus rudderi","eucalyptus rudderi","Eucalyptus rudderi","eucalyptus rudderi","","Species ","D.Nicolle",2920,"Taree, NSW",32,2,38,152,22,9,196,10,"Alive","Slight","Slight","?","Very scattered","Secondary & tertiary branches","3 - 6 months","None evident","","None evident","Flowered","Flowered",2000,"Eucalyptus_rudderi_614","eucalyptus_rudderi","eucalyptus_rudderi"
"501","Eucalyptus rudderi (E. hypostomatica)","Eucalyptus rudderi","eucalyptus rudderi","Eucalyptus hypostomatica","eucalyptus hypostomatica","","Species ","D.Nicolle",2080,"Paxton, NSW",32,59,48,151,15,42,153,1,"Alive","Moderate","Moderate","?","Scattered","Tertiary branches","3 - 6 months","None evident","","None evident","Flowered","Flowered",1998,"Eucalyptus_rudderi_614","eucalyptus_rudderi","eucalyptus_rudderi"
"502","Eucalyptus rugosa","Eucalyptus rugosa","eucalyptus rugosa","Eucalyptus rugosa","eucalyptus rugosa","","Species ","D.Nicolle",3179,"Sleaford Bay 1, SA",34,54,55,135,40,45,229,12,"Alive","Severe","Dead","?","Moderate","Primary, secondary & tertiary branches","3 - 6 months","Dead","","None evident","Flowered","Flowered",2001,"Eucalyptus_rugosa_61","eucalyptus_rugosa","eucalyptus_rugosa"
"503","Eucalyptus rugulata","Eucalyptus rugulata","eucalyptus rugulata","Eucalyptus rugulata","eucalyptus rugulata","","Species ","D.Nicolle",3671,"South Ironcap, WA",32,40,45,119,46,49,226,14,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"Eucalyptus_rugulata_42","eucalyptus_rugulata","eucalyptus_rugulata"
"504","Eucalyptus rummeryi","Eucalyptus rummeryi","eucalyptus rummeryi","Eucalyptus rummeryi","eucalyptus rummeryi","","Species ","D.Nicolle",1245,"Mallanganee, NSW",28,55,59,152,42,18,94,24,"Alive","Slight","None evident","?","None evident","","","","","None evident","Flowered","Flowered",1996,"Eucalyptus_rummeryi_735","eucalyptus_rummeryi","eucalyptus_rummeryi"
"505","Eucalyptus salicola","Eucalyptus salicola","eucalyptus salicola","Eucalyptus salicola","eucalyptus salicola","","Species ","D.Nicolle",3457,"Baandie, WA",31,35,8,117,59,29,227,17,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"Eucalyptus_salicola_32","eucalyptus_salicola","eucalyptus_salicola"
"506","Eucalyptus saligna","Eucalyptus saligna","eucalyptus saligna","Eucalyptus saligna","eucalyptus saligna","","Species ","D.Nicolle",2924,"Grafton, NSW",29,26,58,152,22,7,195,2,"Alive","Severe","Dead","?","None evident","","","","","Severe","Flowered","Flowered",2000,"Eucalyptus_saligna_737","eucalyptus_saligna","eucalyptus_saligna"
"507","Eucalyptus salmonophloia","Eucalyptus salmonophloia","eucalyptus salmonophloia","Eucalyptus salmonophloia","eucalyptus salmonophloia","","Species ","D.Nicolle",2306,"Zanthus, WA",31,2,8,123,40,10,177,16,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1999,"Eucalyptus_salmonophloia_CANB_564460","eucalyptus_salmonophloia","eucalyptus_salmonophloia"
"508","Eucalyptus salubris","Eucalyptus salubris","eucalyptus salubris","Eucalyptus salubris","eucalyptus salubris","","Species ","D.Nicolle",2717,"Laverton, WA",28,33,32,122,29,17,185,22,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"Eucalyptus_salubris_589","eucalyptus_salubris","eucalyptus_salubris"
"509","Eucalyptus sargentii subsp. sargentii","Eucalyptus sargentii subsp. sargentii","eucalyptus sargentii subsp. sargentii","Eucalyptus sargentii subsp. sargentii","eucalyptus sargentii subsp. sargentii","","Subspecies","D.Nicolle",2229,"Koorda, WA",30,47,57,117,19,15,176,14,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1999,"Eucalyptus_sargentii_subsp_sargentii_524","eucalyptus_sargentii_subsp._sargentii","eucalyptus_sargentii_subsp_sargentii"
"510","Eucalyptus saxatilis","Eucalyptus saxatilis","eucalyptus saxatilis","Eucalyptus saxatilis","eucalyptus saxatilis","","Species","D.Nicolle",2069,"Little River Gorge, Vic",37,4,46,148,19,24,155,22,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1998,"Eucalyptus_saxatilis_7906246","eucalyptus_saxatilis","eucalyptus_saxatilis"
"511","Eucalyptus scias subsp. scias","Eucalyptus scias subsp. scias","eucalyptus scias subsp. scias","Eucalyptus scias subsp. scias","eucalyptus scias subsp. scias","","Subspecies","D.Nicolle",2911,"West Head, NSW",33,34,44,151,18,29,197,14,"Alive","Moderate","Moderate","?","None evident","","","","","None evident","Flowered","Flowered",2000,"Eucalyptus_scias_subsp_scias_745","eucalyptus_scias_subsp._scias","eucalyptus_scias_subsp_scias"
"512","Eucalyptus scoparia","Eucalyptus scoparia","eucalyptus scoparia","Eucalyptus scoparia","eucalyptus scoparia","","Species ","D.Nicolle",6196,"Tenterfield, NSW",29,4,15,151,54,52,285,7,"Alive","Moderate","Moderate","?","None evident","","","","","Not applicable","","",2013,"Eucalyptus_scoparia_ANBG_501278","eucalyptus_scoparia","eucalyptus_scoparia"
"513","Eucalyptus scopulorum","Eucalyptus scopulorum","eucalyptus scopulorum","Eucalyptus scopulorum","eucalyptus scopulorum","","Species ","D.Nicolle",2927,"Peregrine Point, NSW",29,36,45,152,12,10,191,29,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"Eucalyptus_scopulorum_670","eucalyptus_scopulorum","eucalyptus_scopulorum"
"514","Eucalyptus scyphocalyx (E. surgens)","Eucalyptus scyphocalyx","eucalyptus scyphocalyx","Eucalyptus surgens","eucalyptus surgens","","Species","D.Nicolle",558,"Toolinna Cove, WA",32,43,35,125,1,40,41,21,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"Eucalyptus_scyphocalyx_AHT_E7","eucalyptus_scyphocalyx","eucalyptus_scyphocalyx"
"515","Eucalyptus seeana","Eucalyptus seeana","eucalyptus seeana","Eucalyptus seeana","eucalyptus seeana","","Species ","D.Nicolle",2089,"Lake Cathie, NSW",31,31,28,152,47,33,158,29,"Alive","Moderate","Moderate","?","None evident","","","","","Slight","Flowered","Flowered",1998,"Eucalyptus_seeana_630","eucalyptus_seeana","eucalyptus_seeana"
"516","Eucalyptus semota","Eucalyptus semota","eucalyptus semota","Eucalyptus semota","eucalyptus semota","","Species ","D.Nicolle",2193,"Doolgunna, WA",25,37,12,119,23,17,179,25,"Alive","None evident","None evident","?","","","","","","None evident","","",1999,"Eucalyptus_semota_530","eucalyptus_semota","eucalyptus_semota"
"517","Eucalyptus sepulcralis","Eucalyptus sepulcralis","eucalyptus sepulcralis","Eucalyptus sepulcralis","eucalyptus sepulcralis","","Species ","D.Nicolle",1126,"Eyre Range 1, WA",33,54,19,119,57,0,62,35,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"Eucalyptus_sepulcralis_CANB_378343","eucalyptus_sepulcralis","eucalyptus_sepulcralis"
"518","Eucalyptus serraensis","Eucalyptus serraensis","eucalyptus serraensis","Eucalyptus serraensis","eucalyptus serraensis","","Species ","D.Nicolle",2584,"Sundial, Vic",37,10,19,142,30,52,190,13,"Dead","","","","","","","","","","","",2000,"Eucalyptus_serraensis_MC_10646","eucalyptus_serraensis","eucalyptus_serraensis"
"519","Eucalyptus sessilis","Eucalyptus sessilis","eucalyptus sessilis","Eucalyptus sessilis","eucalyptus sessilis","","Species ","D.Nicolle",1352,"Mt Hermannsburg, NT",23,57,29,132,39,35,88,3,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"Eucalyptus_sessilis_549","eucalyptus_sessilis","eucalyptus_sessilis"
"520","Eucalyptus sicilifolia","Eucalyptus sicilifolia","eucalyptus sicilifolia","Eucalyptus sicilifolia","eucalyptus sicilifolia","","Species ","D.Nicolle",1276,"Springsure, Qld",24,4,59,148,4,31,89,15,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"Eucalyptus_sicilifolia_8603421","eucalyptus_sicilifolia","eucalyptus_sicilifolia"
"521","Eucalyptus siderophloia","Eucalyptus siderophloia","eucalyptus siderophloia","Eucalyptus siderophloia","eucalyptus siderophloia","","Species ","D.Nicolle",717,"Gympie, Qld",26,8,8,152,34,50,54,12,"Alive","Moderate","Slight","?","Moderate","Secondary & tertiary branches","3 - 6 months","None evident","","Slight","","",1994,"Eucalyptus_siderophloia_ANBG_7906137","eucalyptus_siderophloia","eucalyptus_siderophloia"
"522","Eucalyptus sideroxylon (subsp. improcera)","Eucalyptus sideroxylon","eucalyptus sideroxylon","Eucalyptus sideroxylon","eucalyptus sideroxylon","","Species","D.Nicolle",6474,"Barakula SF, Qld",26,9,6,150,20,19,278,13,"Alive","None evident","None evident","?","","","","","","Not applicable","Budded","Budded",2013,"Eucalyptus_sideroxylon_750609","eucalyptus_sideroxylon","eucalyptus_sideroxylon"
"523","Eucalyptus sieberi","Eucalyptus sieberi","eucalyptus sieberi","Eucalyptus sieberi","eucalyptus sieberi","","Species ","D.Nicolle",1749,"Mt Imlay, NSW",37,11,NA,149,45,NA,141,24,"Alive","Slight","Moderate","?","Moderate","Primary & secondary branches","3 - 6 months","None evident","","None evident","Flowered","Flowered",1997,"Eucalyptus_sieberi_ANBG_8411661","eucalyptus_sieberi","eucalyptus_sieberi"
"524","Eucalyptus similis","Eucalyptus similis","eucalyptus similis","Eucalyptus similis","eucalyptus similis","","Species ","D.Nicolle",1282,"Jericho, Qld",23,34,17,145,53,4,88,33,"Dead","","","","","","","","","","","",1996,"Eucalyptus_similis","eucalyptus_similis","eucalyptus_similis"
"525","Eucalyptus singularis","Eucalyptus singularis","eucalyptus singularis","Eucalyptus singularis","eucalyptus singularis","","Species ","D.Nicolle",3816,"Pingaring, WA",32,45,6,118,58,43,206,6,"Alive","Moderate","None evident","??","None evident","","","","","Not applicable","Flowered","Flowered",2002,"Eucalyptus_singularis_AHT_E15","eucalyptus_singularis","eucalyptus_singularis"
"526","Eucalyptus smithii (mallee form)","Eucalyptus smithii","eucalyptus smithii","Eucalyptus smithii","eucalyptus smithii","","Species ","D.Nicolle",2068,"Little River Gorge, Vic",37,4,46,148,19,24,153,14,"Alive","None evident","Slight","?","None evident","","","","","None evident","","",1998,"Eucalyptus_smithii_217","eucalyptus_smithii","eucalyptus_smithii"
"527","Eucalyptus socialis subsp. socialis","Eucalyptus socialis subsp. socialis","eucalyptus socialis subsp. socialis","Eucalyptus socialis subsp. socialis","eucalyptus socialis subsp. socialis","","Subspecies","D.Nicolle",1804,"Roseworthy, SA",34,30,11,138,41,41,134,34,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"Eucalyptus_socialis_subsp_socialis_276","eucalyptus_socialis_subsp._socialis","eucalyptus_socialis_subsp_socialis"
"528","Eucalyptus sparsa","Eucalyptus sparsa","eucalyptus sparsa","Eucalyptus sparsa","eucalyptus sparsa","","Species ","D.Nicolle",2684,"Blackstone Range, WA",26,6,8,128,23,41,182,26,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"Eucalyptus_sparsa_AHT_E24","eucalyptus_sparsa","eucalyptus_sparsa"
"529","Eucalyptus sparsifolia (E. ralla)","Eucalyptus sparsifolia","eucalyptus sparsifolia","Eucalyptus sparsifolia","eucalyptus sparsifolia","Synonym of Eucalyptus oblonga","Species ","D.Nicolle",614,"Yalwal 1, NSW",34,54,44,150,28,38,59,4,"Alive","Severe","Severe","?","Moderate","Basal + trunk + primary branches","3 - 9 months","None evident","","None evident","","",1994,"Eucalyptus_sparsifolia_216","eucalyptus_sparsifolia","eucalyptus_sparsifolia"
"530","Eucalyptus spathulata subsp. spathulata","Eucalyptus spathulata subsp. spathulata","eucalyptus spathulata subsp. spathulata","Eucalyptus spathulata subsp. spathulata","eucalyptus spathulata subsp. spathulata","","Subspecies","D.Nicolle",234,"Katanning, WA",33,41,16,117,44,57,71,4,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"Eucalyptus_spathulata_subsp_spathulata_368","eucalyptus_spathulata_subsp._spathulata","eucalyptus_spathulata_subsp_spathulata"
"531","Eucalyptus sphaerocarpa","Eucalyptus sphaerocarpa","eucalyptus sphaerocarpa","Eucalyptus sphaerocarpa","eucalyptus sphaerocarpa","","Species ","D.Nicolle",704,"Blackdown Tableland, Qld",23,48,38,149,4,10,58,20,"Dead","","","","","","","","","","","",1994,"Eucalyptus_sphaerocarpa_606","eucalyptus_sphaerocarpa","eucalyptus_sphaerocarpa"
"532","Eucalyptus spreta","Eucalyptus spreta","eucalyptus spreta","Eucalyptus spreta","eucalyptus spreta","","Species ","D.Nicolle",122,"Balladonia, WA",32,13,20,123,21,54,14,9,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_spreta_40","eucalyptus_spreta","eucalyptus_spreta"
"533","Eucalyptus squamosa","Eucalyptus squamosa","eucalyptus squamosa","Eucalyptus squamosa","eucalyptus squamosa","","Species ","D.Nicolle",2072,"Glenbrook, NSW",33,47,42,150,34,14,158,17,"Alive","None evident","None evident","?","","","","","","None evident","","",1998,"Eucalyptus_squamosa_629","eucalyptus_squamosa","eucalyptus_squamosa"
