TaxonoriginalDN,Taxonsimplified_DN,Acceptedname_ALA,name,Note.Gbif,Taxonresolution_ALA,Collector,UniqueID,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Row,Tree,StatusFeb2016,Drought2019,Drought2020,Recovery2019.2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath.June2019.,Drought2006,MaturityMar2020,Maturity.at.June.2019,Yearplanted
Eucalyptus alipes,Eucalyptus alipes,Eucalyptus alipes,eucalyptus alipes,,Species ,D.Nicolle,3675,"Varley, WA",32,49,17,119,31,46,228,21,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2001
Eucalyptus alligatrix subsp. alligatrix,Eucalyptus alligatrix subsp. alligatrix,Eucalyptus alligatrix subsp. alligatrix,eucalyptus alligatrix subsp. alligatrix,,Subspecies,D.Nicolle,1774,"Eildon, Vic",37,22,17,146,0,49,145,31,Alive,Severe,Severe,?,None evident,,,,,None evident,,,1997
Eucalyptus alligatrix subsp. alligatrix (subsp. limaensis),Eucalyptus alligatrix subsp. alligatrix,Eucalyptus alligatrix subsp. limaensis,eucalyptus alligatrix subsp. limaensis,,Subspecies,D.Nicolle,1773,"Swanpool, Vic",36,44,58,145,59,35,144,12,Alive,Moderate,Moderate,?,None evident,,,,,None evident,Flowered,Flowered,1997
Eucalyptus alligatrix subsp. miscella,Eucalyptus alligatrix subsp. miscella,Eucalyptus alligatrix subsp. miscella,eucalyptus alligatrix subsp. miscella,,Subspecies,D.Nicolle,776,"Rylstone, NSW",32,50,14,149,56,5,48,2,Alive,Dead,,,,,,,6 - 12 months,Severe,,,1994
Eucalyptus ammophila,Eucalyptus ammophila,Eucalyptus ammophila,eucalyptus ammophila,,Species ,D.Nicolle,1284,"Barcaldine, Qld",23,33,36,145,43,6,87,28,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996
Eucalyptus amplifolia subsp. amplifolia,Eucalyptus amplifolia subsp. amplifolia,Eucalyptus amplifolia subsp. amplifolia,eucalyptus amplifolia subsp. amplifolia,,Subspecies,D.Nicolle,604,"Nerriga, NSW",35,5,41,150,6,56,53,19,Alive,None evident,Slight,?,None evident,,,,,None evident,Flowered,Flowered,1994
Eucalyptus amplifolia subsp. sessiliflora,Eucalyptus amplifolia subsp. sessiliflora,Eucalyptus amplifolia subsp. sessiliflora,eucalyptus amplifolia subsp. sessiliflora,,Subspecies,D.Nicolle,668,"Tenterfield, NSW",29,4,47,152,0,16,52,5,Alive,Dead,,,,,,,2 - 3 years,None evident,,,1994
Eucalyptus amygdalina,Eucalyptus amygdalina,Eucalyptus amygdalina,eucalyptus amygdalina,,Species ,D.Nicolle,1987,"Rheban, Tas",42,41,9,147,52,35,152,5,Dead,,,,,,,,,,,,1998
Eucalyptus ancophila,Eucalyptus ancophila,Eucalyptus ancophila,eucalyptus ancophila,,Species ,D.Nicolle,646,"Eungai Creek, NSW",30,48,59,152,51,12,58,12,Alive,None evident,Slight,?,None evident,,,,,None evident,Flowered,Flowered,1994
Eucalyptus andrewsii ,Eucalyptus andrewsii,Eucalyptus andrewsii,eucalyptus andrewsii,,Species ,D.Nicolle,670,"Wallangarra, Qld",28,52,52,151,57,56,52,27,Alive,Moderate,Moderate,?,None evident,,,,,Moderate,,,1994
Eucalyptus angophoroides,Eucalyptus angophoroides,Eucalyptus angophoroides,eucalyptus angophoroides,,Species ,D.Nicolle,1745,"Genoa, Vic",37,28,56,149,34,36,142,23,Alive,Moderate,Moderate,?,None evident,,,,,Severe,,,1997
Eucalyptus angulosa,Eucalyptus angulosa,Eucalyptus angulosa,eucalyptus angulosa,,Species ,D.Nicolle,1136,"Two Peoples Bay, WA",34,56,19,118,12,27,67,10,Alive,Slight,Slight,?,None evident,,,,,None evident,Flowered,Flowered,1995
Eucalyptus angustissima,Eucalyptus angustissima,Eucalyptus angustissima,eucalyptus angustissima,,Species ,D.Nicolle,150,"Lort River 1, WA",33,2,46,121,10,20,13,20,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus annettae,Eucalyptus annettae,Eucalyptus annettae,eucalyptus annettae,,Species ,D.Nicolle,6359,"Tookle Jenna Rock, WA",33,39,29,123,42,7,244,1,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2013
Eucalyptus annulata,Eucalyptus annulata,Eucalyptus annulata,eucalyptus annulata,,Species ,D.Nicolle,206,"Jerramungup, WA",34,4,21,119,2,43,21,35,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus apiculata,Eucalyptus apiculata,Eucalyptus apiculata,eucalyptus apiculata,,Species ,D.Nicolle,617,"Berrima, NSW",34,29,30,150,16,0,60,37,Dead,,,,,,,,,,,,1994
Eucalyptus apodophylla,Eucalyptus apodophylla,Eucalyptus apodophylla,eucalyptus apodophylla,,Species ,D.Nicolle,2456,"Pine Creek, NT",13,50,53,131,50,24,167,21,Dead,,,,,,,,,,,,1999
Eucalyptus apothalassica,Eucalyptus apothalassica,Eucalyptus apothalassica,eucalyptus apothalassica,,Species ,D.Nicolle,1263,"Eidsvold, Qld",25,21,16,150,36,35,89,38,Alive,Moderate,Moderate,?,None evident,,,,,Moderate,,,1996
Eucalyptus approximans,Eucalyptus approximans,Eucalyptus approximans,eucalyptus approximans,,Species ,D.Nicolle,2090,"Barren Mountain, NSW",30,23,14,152,29,11,159,22,Dead,,,,,,,,,,,,1998
Eucalyptus aquilina,Eucalyptus aquilina,Eucalyptus aquilina,eucalyptus aquilina,,Species ,D.Nicolle,176,"Lucky Bay, WA",33,58,55,122,12,56,23,28,Dead,,,,,,,,,,,,1993
Eucalyptus arachnaea subsp. arachnaea,Eucalyptus arachnaea subsp. arachnaea,Eucalyptus arachnaea subsp. arachnaea,eucalyptus arachnaea subsp. arachnaea,,Subspecies,D.Nicolle,296,"Cadoux, WA",30,46,32,117,9,39,26,11,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus arachnaea subsp. arrecta,Eucalyptus arachnaea subsp. arrecta,Eucalyptus arachnaea subsp. arrecta,eucalyptus arachnaea subsp. arrecta,,Subspecies,D.Nicolle,2216,"Morawa, WA",29,9,14,115,44,29,174,22,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999
Eucalyptus arborella,Eucalyptus arborella,Eucalyptus arborella,eucalyptus arborella,,Species ,D.Nicolle,1127,"Twertup, WA",34,2,NA,119,22,,70,29,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
Eucalyptus arcana,Eucalyptus arcana,Eucalyptus arcana,eucalyptus arcana,,Species ,D.Nicolle,1800,"Carpenter Rocks, SA",37,55,NA,140,25,,145,12,Alive,Moderate,Moderate,?,Extensive,Trunk + primary & secondary branches,3 - 9 months,None evident,,Slight,Flowered,Flowered,1997
Eucalyptus archeri,Eucalyptus archeri,Eucalyptus archeri,eucalyptus archeri,,Species ,D.Nicolle,1990,"Breona 1, Tas",41,43,42,146,43,19,156,17,Dead,,,,,,,,,,,,1998
Eucalyptus arenacea,Eucalyptus arenacea,Eucalyptus arenacea,eucalyptus arenacea,,Species ,D.Nicolle,1588,"Pinnaroo, SA",35,27,59,140,46,25,137,11,Alive,Moderate,Moderate,?,None evident,,,,,None evident,Flowered,Flowered,1997
Eucalyptus arenicola,Eucalyptus arenicola,Eucalyptus arenicola,eucalyptus arenicola,,Species ,D.Nicolle,6786,"Holey Plains, Vic",38,11,40,146,50,19,163,1,Alive,Dead,,,,,,,1 - 2 years,Not applicable,,,2015
Eucalyptus argillacea,Eucalyptus argillacea,Eucalyptus argillacea,eucalyptus argillacea,,Species ,D.Nicolle,4241,"Mt House Station, WA",17,6,0,125,32,43,207,13,Alive,None evident,None evident,?,,,,,,Not applicable,,,2002
Eucalyptus argophloia,Eucalyptus argophloia,Eucalyptus argophloia,eucalyptus argophloia,,Species ,D.Nicolle,686,"Burncluith, Qld",26,37,52,150,44,5,51,5,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1994
Eucalyptus argutifolia,Eucalyptus argutifolia,Eucalyptus argutifolia,eucalyptus argutifolia,,Species ,D.Nicolle,249,"Seabird, WA",31,17,9,115,26,46,14,31,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus aridomontana,Eucalyptus aridomontana,Eucalyptus aridimontana,eucalyptus aridimontana,,Species ,D.Nicolle,1191,"Mt Nameless 1, WA",22,43,17,117,45,37,64,10,Alive,None evident,None evident,?,,,,,,None evident,,,1995
Eucalyptus armillata,Eucalyptus armillata,Eucalyptus armillata,eucalyptus armillata,,Species ,D.Nicolle,287,"Pithara, WA",30,17,2,116,52,23,26,5,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus aromaphloia (smooth bark),Eucalyptus aromaphloia,Eucalyptus aromaphloia,eucalyptus aromaphloia,,Species ,D.Nicolle,355,"Mt William, Vic",37,17,NA,142,35,,74,20,Dead,,,,,,,,,Died in 2006,,,1995
Eucalyptus articulata,Eucalyptus articulata,Eucalyptus articulata,eucalyptus articulata,,Species ,D.Nicolle,520,"Mulga Rock, WA",30,8,32,123,16,40,40,16,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1994
Eucalyptus aspersa,Eucalyptus aspersa,Eucalyptus aspersa,eucalyptus aspersa,,Species ,D.Nicolle,1149,"North Bannister, WA",32,30,40,116,22,27,73,13,Dead,,,,,,,,,,,,1995
Eucalyptus aspratilis,Eucalyptus aspratilis,Eucalyptus aspratilis,eucalyptus aspratilis,,Species ,D.Nicolle,328,"Mt Day, WA",32,6,51,120,26,25,31,5,Alive,None evident,None evident,?,,,,,,None evident,,,1993
Eucalyptus assimilans,Eucalyptus assimilans,Eucalyptus assimilans,eucalyptus assimilans,,Species ,D.Nicolle,1826,"Balladonia, WA",32,14,58,123,25,24,133,17,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997
Eucalyptus astringens subsp. astringens,Eucalyptus astringens subsp. astringens,Eucalyptus astringens subsp. astringens,eucalyptus astringens subsp. astringens,,Subspecies,D.Nicolle,3423,"Tutanning Nature Res., WA",32,32,43,117,20,38,237,9,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2001
Eucalyptus astringens subsp. redacta,Eucalyptus astringens subsp. redacta,Eucalyptus astringens subsp. redacta,eucalyptus astringens subsp. redacta,,Subspecies,D.Nicolle,194,"Ravensthorpe, WA",33,42,3,120,11,16,43,20,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1994
Eucalyptus atrata,Eucalyptus atrata,Eucalyptus atrata,eucalyptus atrata,,Species ,D.Nicolle,1308,"Herberton, Qld",17,23,13,145,19,56,91,32,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996
Eucalyptus aurantiaca,Eucalyptus aurantiaca,Eucalyptus miniata,eucalyptus miniata,,Species ,D.Nicolle,1903,"Derby, WA",17,21,14,123,44,38,169,32,Dead,,,,,,,,,,,,1999
Eucalyptus aurantiaca,Eucalyptus aurantiaca,Eucalyptus miniata,eucalyptus miniata,,Species ,D.Nicolle,4224,"Gregory National Park, NT",15,36,37,131,7,8,298,14,Alive,Dead (non-drought),,,,,,,1 - 2 years,Not applicable,,,2015
Eucalyptus aurifodina,Eucalyptus aurifodina,Eucalyptus aurifodina,eucalyptus aurifodina,,Species ,D.Nicolle,6104,"Meldon, Vic",37,1,9,144,6,4,281,5,Alive,None evident,None evident,?,,,,,,Not applicable,,,2013
Eucalyptus badjensis,Eucalyptus badjensis,Eucalyptus badjensis,eucalyptus badjensis,,Species ,D.Nicolle,1767,"Mother Woila, NSW",36,1,0,149,39,27,144,8,Alive,Slight,Moderate,?,Scattered,Primary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,1997
Eucalyptus baeuerlenii,Eucalyptus baeuerlenii,Eucalyptus baeuerlenii,eucalyptus baeuerlenii,,Species ,D.Nicolle,1227,"Wentworth Falls 1, NSW",33,43,39,150,22,18,93,21,Dead,,,,,,,,,Died in 2006,,,1996
Eucalyptus baileyana,Eucalyptus baileyana,Eucalyptus baileyana,eucalyptus baileyana,,Species ,D.Nicolle,2938,"Helidon Hills, Qld",27,28,7,152,10,22,192,17,Dead,,,,,,,,,,,,2000
Eucalyptus baiophylla,Eucalyptus baiophylla,Eucalyptus baiophylla,eucalyptus baiophylla,,Species ,D.Nicolle,1181,"Cape Farquhar, WA",23,37,36,113,38,6,72,1,Alive,None evident,None evident,?,,,,,,None evident,,,1995
Eucalyptus bakeri,Eucalyptus bakeri,Eucalyptus bakeri,eucalyptus bakeri,,Species ,D.Nicolle,1269,"Injune, Qld",25,12,11,147,56,11,90,13,Alive,None evident,None evident,?,,,,,,None evident,,,1996
Eucalyptus balladoniensis subsp. balladoniensis,Eucalyptus balladoniensis subsp. balladoniensis,Eucalyptus balladoniensis subsp. balladoniensis,eucalyptus balladoniensis subsp. balladoniensis,,Subspecies,D.Nicolle,118,"Balladonia, WA",32,15,27,123,26,6,28,7,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus balladoniensis subsp. sedens,Eucalyptus balladoniensis subsp. sedens,Eucalyptus balladoniensis subsp. sedens,eucalyptus balladoniensis subsp. sedens,,Subspecies,D.Nicolle,2784,"Zanthus 2, WA",31,15,46,123,40,31,185,6,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2000
Eucalyptus bancroftii,Eucalyptus bancroftii,Eucalyptus bancroftii,eucalyptus bancroftii,,Species ,D.Nicolle,1241,"Wells Crossing, NSW",29,54,6,153,3,53,95,2,Alive,Moderate,Moderate,?,Scattered,Secondary & tertiary branches,3 - 6 months,None evident,,Moderate,Flowered,Flowered,1996
Eucalyptus banksii,Eucalyptus banksii,Eucalyptus banksii,eucalyptus banksii,,Species ,D.Nicolle,653,"Armidale, NSW",30,24,6,151,42,4,50,33,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1994
Eucalyptus barberi,Eucalyptus barberi,Eucalyptus barberi,eucalyptus barberi,,Species ,D.Nicolle,1989,"Cherry Tree Hill Forest Res., Tas",41,58,6,148,8,22,151,2,Alive,Dead,,,,,,,2 - 3 years,Severe,,,1998
Eucalyptus baudiniana,Eucalyptus baudiniana,Eucalyptus baudiniana,eucalyptus baudiniana,,Species ,D.Nicolle,5577,"Eurardy, WA",27,20,18,114,25,48,317,17,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2011
Eucalyptus baueriana,Eucalyptus baueriana,Eucalyptus baueriana,eucalyptus baueriana,,Species ,D.Nicolle,1734,"Metung, Vic",37,52,40,147,51,15,142,32,Alive,Moderate,Moderate,?,None evident,,,,,None evident,Flowered,Flowered,1997
Eucalyptus baueriana (subsp. deddickensis),Eucalyptus baueriana,Eucalyptus baueriana subsp. deddickensis,eucalyptus baueriana subsp. deddickensis,,Subspecies,D.Nicolle,7378,"Deddick River, Vic",37,5,30,148,26,20,405,7,Alive,None evident,None evident,?,,,,,,Not applicable,,,2018
Eucalyptus baueriana (subsp. thalassina),Eucalyptus baueriana,Eucalyptus baueriana subsp. thalassina,eucalyptus baueriana subsp. thalassina,,Subspecies,D.Nicolle,6097,"Bachus Marsh, Vic",37,37,1,144,31,39,281,1,Alive,None evident,None evident,?,,,,,,Not applicable,,,2013
Eucalyptus baxteri,Eucalyptus baxteri,Eucalyptus baxteri,eucalyptus baxteri,,Species ,D.Nicolle,7234,"Wilsons Promontory, Vic",39,1,20,146,19,18,340,24,Alive,None evident,None evident,?,,,,,,Not applicable,Budded,,2017
Eucalyptus beaniana,Eucalyptus beaniana,Eucalyptus beaniana,eucalyptus beaniana,,Species ,D.Nicolle,6472,"Isla Gorge, Qld",25,11,28,149,58,21,281,13,Alive,None evident,None evident,?,,,,,,Not applicable,,,2013
Eucalyptus beardiana,Eucalyptus beardiana,Eucalyptus beardiana,eucalyptus beardiana,,Species ,D.Nicolle,2208,"Nerren Nerren, WA",27,7,44,114,33,12,186,10,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2000
Eucalyptus behriana,Eucalyptus behriana,Eucalyptus behriana,eucalyptus behriana,,Species ,D.Nicolle,2065,"Warracknabeal, Vic",36,15,39,142,40,22,82,22,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1998
Eucalyptus bensonii,Eucalyptus bensonii,Eucalyptus bensonii,eucalyptus bensonii,,Species ,D.Nicolle,773,"Wollemi, NSW",32,55,57,150,21,43,57,4,Alive,Slight,Slight,?,Extensive,"Primary, secondary & tertiary branches",6 - 9 months,None evident,,None evident,,,1994
Eucalyptus benthamii,Eucalyptus benthamii,Eucalyptus benthamii,eucalyptus benthamii,,Species ,D.Nicolle,3203,"Camden, NSW",34,2,29,150,41,45,239,26,Alive,Dead,,,,,,,1 - 2 years,Moderate,Flowered,Flowered,2001
Eucalyptus beyeriana,Eucalyptus beyeriana,Eucalyptus beyeriana,eucalyptus beyeriana,,Species ,D.Nicolle,1761,"Bargo, NSW",34,18,45,150,35,15,143,25,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997
Eucalyptus bicostata ,Eucalyptus bicostata,Eucalyptus globulus subsp. bicostata,eucalyptus globulus subsp. bicostata,,Subspecies,D.Nicolle,3212,"Mt Bryan, SA",33,26,37,138,57,23,235,18,Alive,Dead,,,,,,,1 - 2 years,Moderate,,,2001
Eucalyptus biterranea,Eucalyptus biterranea,Eucalyptus pellita,eucalyptus pellita,,Species ,D.Nicolle,2518,"Iron Range, Qld",12,43,33,143,12,22,165,17,Alive,Dead,,,,,,,2 - 3 years,Moderate,,,1999
Eucalyptus blakelyi ,Eucalyptus blakelyi,Eucalyptus blakelyi,eucalyptus blakelyi,,Species ,D.Nicolle,3796,Warby Range Vic,36,17,55,146,9,52,207,20,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2002
Eucalyptus blaxellii,Eucalyptus blaxellii,Eucalyptus blaxellii,eucalyptus blaxellii,,Species ,D.Nicolle,272,"Moresby Range, WA",28,42,6,114,41,42,25,18,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus blaxlandii,Eucalyptus blaxlandii,Eucalyptus blaxlandii,eucalyptus blaxlandii,,Species ,D.Nicolle,1225,"Lithgow, NSW",33,31,13,150,7,1,143,9,Dead,,,,,,,,,,,,1997
Eucalyptus boliviana,Eucalyptus boliviana,Eucalyptus boliviana,eucalyptus boliviana,,Species ,D.Nicolle,6197,"Bolivia Hill, NSW",29,21,11,151,54,58,283,13,Alive,None evident,None evident,?,,,,,,Not applicable,,,2013
Eucalyptus bosistoana,Eucalyptus bosistoana,Eucalyptus bosistoana,eucalyptus bosistoana,,Species ,D.Nicolle,1733,"Metung, Vic",37,52,40,147,51,15,141,31,Alive,None evident,Moderate,??,None evident,,,,,None evident,,,1997
Eucalyptus botryoides,Eucalyptus botryoides,Eucalyptus botryoides,eucalyptus botryoides,,Species ,D.Nicolle,1739,"Orbost, Vic",37,45,22,148,31,40,140,20,Alive,Moderate,Moderate,?,Very scattered,Primary branches,3 - 6 months,None evident,,Moderate,Flowered,Flowered,1997
Eucalyptus brachyandra,Eucalyptus brachyandra,Eucalyptus brachyandra,eucalyptus brachyandra,,Species ,D.Nicolle,4223,"Victoria River, NT",15,36,37,131,7,8,240,8,Dead,,,,,,,,,,,,2002
Eucalyptus brachycalyx,Eucalyptus brachycalyx,Eucalyptus brachycalyx,eucalyptus brachycalyx,,Species ,D.Nicolle,1072,"Yumbarra Con. Park, SA",31,50,30,133,27,26,67,29,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
Eucalyptus brachycalyx (E. pleurocorys),Eucalyptus brachycalyx,Eucalyptus pleurocorys,eucalyptus pleurocorys,,Species ,D.Nicolle,2245,"Hamersley Inlet, WA",33,56,54,119,55,38,172,30,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999
Eucalyptus brandiana,Eucalyptus brandiana,Eucalyptus brandiana,eucalyptus brandiana,,Species ,D.Nicolle,5514,"Fitzgerald River, WA",34,4,37,119,31,28,313,9,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2011
Eucalyptus brassiana,Eucalyptus brassiana,Eucalyptus brassiana,eucalyptus brassiana,,Species ,D.Nicolle,1316,"Battlecamp, Qld",15,18,15,144,48,27,95,5,Alive,Slight,Slight,?,Moderate,Trunk + primary & secondary branches,3 - 6 months,None evident,,Slight,,,1996
Eucalyptus brevifolia,Eucalyptus brevifolia,Eucalyptus brevifolia,eucalyptus brevifolia,,Species ,D.Nicolle,1936,"Turkey Creek, WA",17,5,6,128,11,14,81,1,Dead,,,,,,,,,None evident,,,1998
Eucalyptus brevipes,Eucalyptus brevipes,Eucalyptus brevipes,eucalyptus brevipes,,Species ,D.Nicolle,299,"Mukinbudin, WA",30,37,50,118,29,6,27,15,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus brevistylis,Eucalyptus brevistylis,Eucalyptus brevistylis,eucalyptus brevistylis,,Species ,D.Nicolle,1141,"Mt Frankland, WA",34,48,47,116,53,20,76,26,Alive,Moderate,Moderate,?,Very scattered,Trunk only,3 - 6 months,None evident,,Severe,,,1995
Eucalyptus bridgesiana (large juveniles),Eucalyptus bridgesiana,Eucalyptus bridgesiana,eucalyptus bridgesiana,,Species ,D.Nicolle,2950,"Nundle, NSW",31,28,0,151,11,3,191,25,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2000
Eucalyptus brockwayi,Eucalyptus brockwayi,Eucalyptus brockwayi,eucalyptus brockwayi,,Species ,D.Nicolle,136,"Norseman north, WA",32,8,12,121,41,39,15,13,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus brookeriana ,Eucalyptus brookeriana,Eucalyptus brookeriana,eucalyptus brookeriana,,Species ,D.Nicolle,1965,"Tullah, Tas",41,36,20,145,40,6,158,21,Dead,,,,,,,,,,,,1998
Eucalyptus broviniensis,Eucalyptus broviniensis,Eucalyptus broviniensis,eucalyptus broviniensis,,Species ,D.Nicolle,6478,"Brovinia State Forest, Qld",25,59,42,151,13,41,245,15,Alive,None evident,Slight,?,None evident,,,,,Not applicable,,,2013
Eucalyptus brownii,Eucalyptus brownii,Eucalyptus brownii,eucalyptus brownii,,Species ,D.Nicolle,1293,"Pentland, Qld",20,33,32,145,21,44,90,19,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996
Eucalyptus brunnea,Eucalyptus brunnea,Eucalyptus deanei,eucalyptus deanei,,Species ,D.Nicolle,669,"Girraween Nat. Park, Qld",28,52,57,151,57,57,14,39,Alive,Slight,Slight,?,None evident,,,,,None evident,Flowered,Flowered,1994
Eucalyptus buprestium,Eucalyptus buprestium,Eucalyptus buprestium,eucalyptus buprestium,,Species ,D.Nicolle,223,"Stirling Range, WA",34,30,28,118,34,58,44,10,Dead,,,,,,,,,,,,1994
Eucalyptus burdettiana,Eucalyptus burdettiana,Eucalyptus burdettiana,eucalyptus burdettiana,,Species ,D.Nicolle,2246,"East Mt Barren, WA",33,55,33,120,1,36,173,7,Alive,None evident,None evident,?,,,,,,None evident,Budded,Budded,1999
Eucalyptus burracoppinensis,Eucalyptus burracoppinensis,Eucalyptus burracoppinensis,eucalyptus burracoppinensis,,Species ,D.Nicolle,306,"Cramphorne, WA",31,50,50,118,44,39,24,37,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus cadens,Eucalyptus cadens,Eucalyptus cadens,eucalyptus cadens,,Species ,D.Nicolle,1772,"Wangaratta, Vic",36,24,31,146,14,0,137,1,Alive,None evident (regrowth from storm damage),None evident,?,,,,,,,,,1997
