TaxonoriginalDN,Taxonsimplified_DN,Acceptedname_ALA,name,Note.Gbif,Taxonresolution_ALA,Collector,UniqueID,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Row,Tree,StatusFeb2016,Drought2019,Drought2020,Recovery2019.2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath.June2019.,Drought2006,MaturityMar2020,Maturity.at.June.2019,Yearplanted
Eucalyptus cyclostoma,Eucalyptus cyclostoma,Eucalyptus cyclostoma,eucalyptus cyclostoma,,Species ,D.Nicolle,125,"Newman Rock, WA",32,9,34,123,14,24,12,9,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus cylindriflora,Eucalyptus cylindriflora,Eucalyptus cylindriflora,eucalyptus cylindriflora,,Species ,D.Nicolle,144,"Salmon Gums, WA",32,52,19,121,35,29,17,12,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus cylindrocarpa,Eucalyptus cylindrocarpa,Eucalyptus cylindrocarpa,eucalyptus cylindrocarpa,,Species ,D.Nicolle,121,"Balladonia, WA",32,13,20,123,21,54,23,34,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus cypellocarpa - E. goniocalyx intergrade (E. carolaniae),Eucalyptus × carolaniae,Eucalyptus carolaniae,eucalyptus carolaniae,,Species ,D.Nicolle,6787,"Mt Martha, Vic",38,16,51,145,1,28,332,3,Alive,Moderate,Severe,?,None evident,,,,,Not applicable,,,2015
Eucalyptus cypellocarpa - E. goniocalyx intergrade (E. goniocalyx subsp. fallax),Eucalyptus cypellocarpa - E. goniocalyx intergrade,Eucalyptus goniocalyx subsp. fallax,eucalyptus goniocalyx subsp. fallax,,Subspecies,D.Nicolle,6098,"Blackwood Range, Vic",37,34,43,144,22,1,244,13,Alive,None evident,None evident,?,,,,,,Not applicable,,,2013
Eucalyptus cypellocarpa (E. oresbia),Eucalyptus cypellocarpa,Eucalyptus cypellocarpa,eucalyptus cypellocarpa,,Species ,D.Nicolle,2949,"Nundle, NSW",31,28,0,151,11,3,191,3,Alive,Moderate,Severe,?,None evident,,,,,None evident,,,2000
Eucalyptus cypellocarpa (E. quinniorum),Eucalyptus cypellocarpa,Eucalyptus quinniorum,eucalyptus quinniorum,,Species ,D.Nicolle,2946,"Kingstown, NSW",30,30,39,151,1,27,190,7,Alive,Moderate,Moderate,?,Scattered,Primary & secondary branches,3 - 6 months,None evident,,None evident,,,2000
Eucalyptus dalrympleana subsp. dalrympleana,Eucalyptus dalrympleana subsp. dalrympleana,Eucalyptus dalrympleana subsp. dalrympleana,eucalyptus dalrympleana subsp. dalrympleana,,Subspecies,D.Nicolle,1363,"Mt Lofty Ranges, SA",35,1,16,138,47,6,91,28,Dead,,,,,,,,,Died in 2006,,,1996
Eucalyptus dalrympleana subsp. heptantha,Eucalyptus dalrympleana subsp. heptantha,Eucalyptus dalrympleana subsp. heptantha,eucalyptus dalrympleana subsp. heptantha,,Subspecies,D.Nicolle,2941,"Guyra, NSW",30,4,25,151,56,25,194,5,Dead,Dead,,,,,,,3 - 4 years,None evident,,,2000
Eucalyptus dalrympleana subsp. 'Howmans Gap',Eucalyptus dalrympleana subsp. Howmans Gap,Eucalyptus dalrympleana,eucalyptus dalrympleana,,Species ,D.Nicolle,4867,"Mt Buffalo, Vic",36,43,18,146,49,16,210,6,Alive,Dead,,,,,,,2 - 3 years,Not applicable,,,2006
Eucalyptus dalveenica,Eucalyptus dalveenica,Eucalyptus dalveenica,eucalyptus dalveenica,,Species ,D.Nicolle,1252,"Dalveen, Qld",28,29,52,151,58,0,92,17,Alive,Moderate,Moderate,?,Very scattered,Secondary & tertiary branches,3 - 6 months,Moderate,,Severe,,,1996
Eucalyptus dawsonii,Eucalyptus dawsonii,Eucalyptus dawsonii,eucalyptus dawsonii,,Species ,D.Nicolle,743,"Ginghi, NSW",32,36,31,150,4,29,47,19,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1994
Eucalyptus dealbata,Eucalyptus dealbata,Eucalyptus dealbata,eucalyptus dealbata,,Species ,D.Nicolle,6171,"Texas, Qld",28,49,53,151,14,52,242,9,Alive,None evident,None evident,?,,,,,,Not applicable,,,2013
Eucalyptus deanei,Eucalyptus deanei,Eucalyptus deanei,eucalyptus deanei,,Species ,D.Nicolle,633,"Perrys Crossing, NSW",33,12,0,150,59,43,13,41,Alive,Slight,Slight,?,None evident,,,,,None evident,Flowered,Flowered,1994
Eucalyptus decipiens,Eucalyptus decipiens,Eucalyptus decipiens,eucalyptus decipiens,,Species ,D.Nicolle,1153,"Perth, WA",31,57,NA,115,46,,73,11,Alive,Severe,Severe,?,Scattered,Basal + primary branches,3 - 6 months,None evident,6 - 12 months,None evident,Flowered,Flowered,1995
Eucalyptus decolor,Eucalyptus decolor,Eucalyptus decolor,eucalyptus decolor,,Species ,D.Nicolle,2545,"Boynedale, Qld",24,11,51,151,16,32,166,17,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999
