"","TaxonoriginalDN","taxonsimplified_dn","Taxonsimplified_DN","Acceptedname_ALA","name","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","RowTree","Taxon","binomial","genus","species","subspecies","taxon.1","Status","Accepted.name","Authority","Collection.source","ETS.accession","ITS.accession","matK.accession","psbA.accession"
"400","Eucalyptus flocktoniae subsp. hebes","eucalyptus flocktoniae subsp. hebes","Eucalyptus flocktoniae subsp. hebes","Eucalyptus flocktoniae subsp. hebes","eucalyptus flocktoniae subsp. hebes","","Subspecies","D.Nicolle","1828","Balladonia, WA",32,12,8,123,19,"52",135,5,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R135/T05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","Eucalyptus urna","eucalyptus urna","Eucalyptus urna","Eucalyptus urna","eucalyptus urna","","Species ","D.Nicolle","1838","Kumarl Siding, WA",32,53,29,121,36,"10",140,26,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R140/T26","Eucalyptus urna","eucalyptus urna","eucalyptus","urna",NA,"eucalyptus urna","Accepted","","D.Nicolle","Currency Creek 1817","KT632028","KT631382","KT633182","KT632589"
"402","Eucalyptus platypus subsp. congregata","eucalyptus platypus subsp. congregata","Eucalyptus platypus subsp. congregata","Eucalyptus platypus subsp. congregata","eucalyptus platypus subsp. congregata","","Subspecies","D.Nicolle","184","Ravensthorpe, WA",33,32,48,119,56,"17",19,1,"Dead","","","","","","","","","","","",1993,"R019/T01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","Eucalyptus kumarlensis","eucalyptus kumarlensis","Eucalyptus kumarlensis","Eucalyptus kumarlensis","eucalyptus kumarlensis","","Species ","D.Nicolle","1844","Peak Charles, WA",33,0,31,121,9,"35",133,9,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R133/T09","Eucalyptus kumarlensis","eucalyptus kumarlensis","eucalyptus","kumarlensis",NA,"eucalyptus kumarlensis","Accepted","","Brooker","Currency Creek 141","KT631756","KT631159","KT632934",""
"404","Eucalyptus flocktoniae subsp. flocktoniae","eucalyptus flocktoniae subsp. flocktoniae","Eucalyptus flocktoniae subsp. flocktoniae","Eucalyptus flocktoniae subsp. flocktoniae","eucalyptus flocktoniae subsp. flocktoniae","","Subspecies","D.Nicolle","1847","Desmond, WA",33,37,55,120,8,"53",139,16,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R139/T16","Eucalyptus flocktoniae subsp. flocktoniae","eucalyptus flocktoniae","eucalyptus","flocktoniae","flocktoniae","eucalyptus flocktoniae subsp. flocktoniae","Accepted","","(Maiden) Maiden","Currency Creek 1870","KT631689","KT631099","KT632871","KT632297"
"405","Eucalyptus improcera","eucalyptus improcera","Eucalyptus improcera","Eucalyptus improcera","eucalyptus improcera","Not in Gbif","Species ","D.Nicolle","185","Ravensthorpe, WA",33,32,47,119,55,"32",15,24,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R015/T24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","Eucalyptus urna","eucalyptus urna","Eucalyptus urna","Eucalyptus urna","eucalyptus urna","","Species ","D.Nicolle","1851","Newdegate, WA",33,5,59,119,4,"33",136,5,"Dead","","","","","","","","","","","",1997,"R136/T05","Eucalyptus urna","eucalyptus urna","eucalyptus","urna",NA,"eucalyptus urna","Accepted","","D.Nicolle","Currency Creek 1817","KT632028","KT631382","KT633182","KT632589"
"407","Eucalyptus neutra","eucalyptus neutra","Eucalyptus neutra","Eucalyptus neutra","eucalyptus neutra","","Species ","D.Nicolle","1853","Newdegate 1, WA",33,6,2,118,53,"23",138,28,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R138/T28","Eucalyptus neutra","eucalyptus neutra","eucalyptus","neutra",NA,"eucalyptus neutra","Accepted","","D.Nicolle","Currency Creek 1855","KT631831","","KT633003","KT632423"
"408","Eucalyptus neutra","eucalyptus neutra","Eucalyptus neutra","Eucalyptus neutra","eucalyptus neutra","","Species ","D.Nicolle","1855","Newdegate 2, WA",33,6,1,118,54,"3",136,23,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R136/T23","Eucalyptus neutra","eucalyptus neutra","eucalyptus","neutra",NA,"eucalyptus neutra","Accepted","","D.Nicolle","Currency Creek 1855","KT631831","","KT633003","KT632423"
"409","Eucalyptus goniocarpa","eucalyptus goniocarpa","Eucalyptus goniocarpa","Eucalyptus goniocarpa","eucalyptus goniocarpa","","Species ","D.Nicolle","186","Lake King, WA",33,8,1,119,42,"16",11,7,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R011/T07","Eucalyptus goniocarpa","eucalyptus goniocarpa","eucalyptus","goniocarpa",NA,"eucalyptus goniocarpa","Accepted","","L.A.S.Johnson & K.D.Hill","Currency Creek 186","KT631715","KT631122","KT632895","KT632323"
"410","Eucalyptus sp. 'South Newdegate Lakes' (aff. gracilis)","eucalyptus sp. south newdegate lakes","Eucalyptus sp. South Newdegate lakes","Eucalyptus gracilis","eucalyptus gracilis","","Species ","D.Nicolle","1861","Lake Cobham, WA",33,27,21,119,16,"11",139,31,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R139/T31","Eucalyptus gracilis","eucalyptus gracilis","eucalyptus","gracilis",NA,"eucalyptus gracilis","Accepted","","F.Muell.","Currency Creek 444","KT631716","KT631123","KT632896","KT632324"
"411","Eucalyptus subtilis","eucalyptus subtilis","Eucalyptus subtilis","Eucalyptus subtilis","eucalyptus subtilis","","Species ","D.Nicolle","187","Newdegate, WA",33,5,44,119,16,"7",23,24,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R023/T24","Eucalyptus subtilis","eucalyptus subtilis","eucalyptus","subtilis",NA,"eucalyptus subtilis","Accepted","","Brooker & Hopper","Currency Creek 3715","KT631999","KT631355","KT633152","KT632562"
"412","Eucalyptus flocktoniae subsp. flocktoniae","eucalyptus flocktoniae subsp. flocktoniae","Eucalyptus flocktoniae subsp. flocktoniae","Eucalyptus flocktoniae subsp. flocktoniae","eucalyptus flocktoniae subsp. flocktoniae","","Subspecies","D.Nicolle","1870","Twertup, WA",34,1,29,119,22,"31",137,15,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R137/T15","Eucalyptus flocktoniae subsp. flocktoniae","eucalyptus flocktoniae","eucalyptus","flocktoniae","flocktoniae","eucalyptus flocktoniae subsp. flocktoniae","Accepted","","(Maiden) Maiden","Currency Creek 1870","KT631689","KT631099","KT632871","KT632297"
"413","Eucalyptus neutra","eucalyptus neutra","Eucalyptus neutra","Eucalyptus neutra","eucalyptus neutra","","Species ","D.Nicolle","1874","Boxwood Hill, WA",34,23,43,118,44,"13",134,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R134/T01","Eucalyptus neutra","eucalyptus neutra","eucalyptus","neutra",NA,"eucalyptus neutra","Accepted","","D.Nicolle","Currency Creek 1855","KT631831","","KT633003","KT632423"
"414","Eucalyptus calcicola subsp. unita","eucalyptus calcicola subsp. unita","Eucalyptus calcicola subsp. unita","Eucalyptus calcicola subsp. unita","eucalyptus calcicola subsp. unita","","Subspecies","D.Nicolle","1878","Hauloff Rocks, WA",34,41,NA,118,36,"",137,28,"Alive","Moderate","Moderate","?","None evident","","","","","None evident","Flowered","Flowered",1997,"R137/T28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","Eucalyptus mimica subsp. mimica","eucalyptus mimica subsp. mimica","Eucalyptus mimica subsp. mimica","Eucalyptus mimica subsp. mimica","eucalyptus mimica subsp. mimica","","Subspecies","D.Nicolle","188","Newdegate, WA",33,12,4,119,13,"23",18,16,"Dead","","","","","","","","","","","",1993,"R018/T16","Eucalyptus mimica subsp. mimica","eucalyptus mimica","eucalyptus","mimica","mimica","eucalyptus mimica subsp. mimica","Accepted","","Brooker & Hopper","Currency Creek 188","KT631814","KT631209","KT632986","KT632408"
"416","Eucalyptus flocktoniae subsp. flocktoniae x E. occidentalis","eucalyptus flocktoniae subsp. flocktoniae x e. occidentalis","Eucalyptus flocktoniae subsp. flocktoniae x E. occidentalis","","","","Hybrid","D.Nicolle","1881","Amelup, WA",34,15,55,118,18,"31",135,37,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R135/T37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","Eucalyptus vegrandis subsp. recondita","eucalyptus vegrandis subsp. recondita","Eucalyptus vegrandis subsp. recondita","Eucalyptus vegrandis subsp. recondita","eucalyptus vegrandis subsp. recondita","","Subspecies","D.Nicolle","1883","Amelup, WA",34,15,49,118,14,"35",134,25,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R134/T25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Eucalyptus macrandra ","eucalyptus macrandra","Eucalyptus macrandra","Eucalyptus macrandra","eucalyptus macrandra","","Species ","D.Nicolle","1887","Williams, WA",33,3,49,117,0,"36",142,2,"Alive","None evident","Moderate","??","Scattered","Basal + trunk + primary branches","3 - 6 months","None evident","","None evident","Flowered","Flowered",1997,"R142/T02","Eucalyptus macrandra","eucalyptus macrandra","eucalyptus","macrandra",NA,"eucalyptus macrandra","Accepted","","F.Muell. ex Benth.","Currency Creek 1887","KT631790","KT631189","KT632963","KT632389"
"419","Eucalyptus aspersa","eucalyptus aspersa","Eucalyptus aspersa","Eucalyptus aspersa","eucalyptus aspersa","","Species ","D.Nicolle","1888","Dryandra 1, WA",33,4,22,117,0,"59",137,9,"Dead","","","","","","","","","","","",1997,"R137/T09","Eucalyptus aspersa","eucalyptus aspersa","eucalyptus","aspersa",NA,"eucalyptus aspersa","Accepted","","Brooker & Hopper","Currency Creek 1890","KT631524","KT630962","KT632718","KT632154"
"420","Eucalyptus aspersa","eucalyptus aspersa","Eucalyptus aspersa","Eucalyptus aspersa","eucalyptus aspersa","","Species ","D.Nicolle","1890","Dryandra 2, WA",33,4,29,117,0,"54",139,3,"Alive","None evident","None evident","?","","","","","","None evident","","",1997,"R139/T03","Eucalyptus aspersa","eucalyptus aspersa","eucalyptus","aspersa",NA,"eucalyptus aspersa","Accepted","","Brooker & Hopper","Currency Creek 1890","KT631524","KT630962","KT632718","KT632154"
"421","Eucalyptus drummondii","eucalyptus drummondii","Eucalyptus drummondii","Eucalyptus drummondii","eucalyptus drummondii","","Species ","D.Nicolle","1892","Congelin, WA",32,47,22,116,52,"24",140,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R140/T01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","Eucalyptus comitae-vallis","eucalyptus comitae-vallis","Eucalyptus comitae-vallis","Eucalyptus comitae-vallis","eucalyptus comitae-vallis","","Species","D.Nicolle","1897","Marchagee, WA",30,6,49,115,59,"30",132,27,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R132/T27","Eucalyptus comitae-vallis","eucalyptus comitae-vallis","eucalyptus","comitae-vallis",NA,"eucalyptus comitae-vallis","Accepted","","Maiden","Currency Creek 2767","KT631597","KT631023","KT632783","KT632216"
"423","Eucalyptus flocktoniae subsp. flocktoniae","eucalyptus flocktoniae subsp. flocktoniae","Eucalyptus flocktoniae subsp. flocktoniae","Eucalyptus flocktoniae subsp. flocktoniae","eucalyptus flocktoniae subsp. flocktoniae","","Subspecies","D.Nicolle","190","Newdegate, WA",33,17,28,119,18,"44",26,37,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R026/T37","Eucalyptus flocktoniae subsp. flocktoniae","eucalyptus flocktoniae","eucalyptus","flocktoniae","flocktoniae","eucalyptus flocktoniae subsp. flocktoniae","Accepted","","(Maiden) Maiden","Currency Creek 1870","KT631689","KT631099","KT632871","KT632297"
"424","Corymbia dampieri","corymbia dampieri","Corymbia dampieri","Corymbia greeniana","corymbia greeniana","","Species ","D.Nicolle","1900","Legrange, WA",18,38,26,121,56,"40",135,33,"Dead","","","","","","","","","","","",1997,"R135/T33","Corymbia greeniana","corymbia greeniana","corymbia","greeniana",NA,"corymbia greeniana","Accepted","","(D.J.Carr & S.G.M.Carr)","CANB 785522**","KT631455","KT630925","KT632661","KT632097"
"425","Corymbia paractia","corymbia paractia","Corymbia paractia","Corymbia paractia","corymbia paractia","","Species ","D.Nicolle","1901","Broome, WA",17,56,23,122,12,"45",136,21,"Dead","","","","","","","","","","","",1997,"R136/T21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426","Corymbia polycarpa","corymbia polycarpa","Corymbia polycarpa","Corymbia polycarpa","corymbia polycarpa","","Species ","D.Nicolle","1902","Broome, WA",17,47,55,122,48,"2",134,31,"Dead","","","","","","","","","","","",1997,"R134/T31","Corymbia polycarpa","corymbia polycarpa","corymbia","polycarpa",NA,"corymbia polycarpa","Accepted","","(F.Muell.) K.D.Hill &","CANB 785478**","KT631476","AF390452","","KT632117"
"427","Eucalyptus aurantiaca","eucalyptus aurantiaca","Eucalyptus aurantiaca","Eucalyptus miniata","eucalyptus miniata","","Species ","D.Nicolle","1903","Derby, WA",17,21,14,123,44,"38",169,32,"Dead","","","","","","","","","","","",1999,"R169/T32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","Corymbia cadophora subsp. cadophora","corymbia cadophora subsp. cadophora","Corymbia cadophora subsp. cadophora","Corymbia cadophora subsp. cadophora","corymbia cadophora subsp. cadophora","","Subspecies","D.Nicolle","1905","Derby, WA",17,23,14,123,56,"36",188,17,"Dead","","","","","","","","","","","",2000,"R188/T17","Corymbia cadophora subsp. cadophora","corymbia cadophora","corymbia","cadophora","cadophora","corymbia cadophora subsp. cadophora","Accepted","","K.D.Hill & L.A.S.Johnson","CANB 785542**","KT631433","KT630907","KT632639","KT632079"
"429","Corymbia dampieri (C. greeniana)","corymbia dampieri","Corymbia dampieri","Corymbia greeniana","corymbia greeniana","","Species ","D.Nicolle","1906","King Leopold Ranges, WA",17,8,44,125,0,"26",137,30,"Dead","","","","","","","","","","","",1997,"R137/T30","Corymbia greeniana","corymbia greeniana","corymbia","greeniana",NA,"corymbia greeniana","Accepted","","(D.J.Carr & S.G.M.Carr)","CANB 785522**","KT631455","KT630925","KT632661","KT632097"
"430","Corymbia drysdalensis","corymbia drysdalensis","Corymbia drysdalensis","Corymbia dichromophloia","corymbia dichromophloia","","Species ","D.Nicolle","1907","King Leopold Ranges, WA",17,8,31,125,4,"37",137,23,"Dead","","","","","","","","","","","",1997,"R137/T23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","Eucalyptus confluens","eucalyptus confluens","Eucalyptus confluens","Eucalyptus confluens","eucalyptus confluens","","Species ","D.Nicolle","1908","King Leopold Range, WA",17,8,31,125,4,"37",82,11,"Dead","","","","","","","","","","","",1998,"R082/T11","Eucalyptus confluens","eucalyptus confluens","eucalyptus","confluens",NA,"eucalyptus confluens","Accepted","","W.Fitzg. ex Maiden","CANB 785543**","KT631601","KT631026","KT632787",""
"432","Eucalyptus pileata","eucalyptus pileata","Eucalyptus pileata","Eucalyptus pileata","eucalyptus pileata","","Species ","D.Nicolle","191","Newdegate, WA",33,17,28,119,18,"44",17,13,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R017/T13","Eucalyptus pileata","eucalyptus pileata","eucalyptus","pileata",NA,"eucalyptus pileata","Accepted","","Blakely","Currency Creek 3644","KT631891","KT631272","KT633058","KT632472"
"433","Eucalyptus revelata","eucalyptus revelata","Eucalyptus revelata","Eucalyptus revelata","eucalyptus revelata","Not in Gbif","Species ","D.Nicolle","1910","Mt Bell, WA",17,10,NA,125,18,"",139,8,"Dead","","","","","","","","","","","",1997,"R139/T08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","Eucalyptus houseana","eucalyptus houseana","Eucalyptus houseana","Eucalyptus houseana","eucalyptus houseana","","Species ","D.Nicolle","1911","King Leopold Range, WA",17,9,48,125,18,"39",139,21,"Dead","","","","","","","","","","","",1997,"R139/T21","Eucalyptus houseana","eucalyptus houseana","eucalyptus","houseana",NA,"eucalyptus houseana","Accepted","","W.Fitzg. ex Maiden","CANB 785535**","KT631731","KT631137","KT632912","KT632337"
"435","Corymbia ptychocarpa subsp. ptychocarpa","corymbia ptychocarpa subsp. ptychocarpa","Corymbia ptychocarpa subsp. ptychocarpa","Corymbia ptychocarpa subsp. ptychocarpa","corymbia ptychocarpa subsp. ptychocarpa","","Subspecies","D.Nicolle","1912","King Leopold Ranges, WA",17,9,48,125,18,"39",139,26,"Dead","","","","","","","","","","","",1997,"R139/T26","Corymbia ptychocarpa subsp. ptychocarpa","corymbia ptychocarpa","corymbia","ptychocarpa","ptychocarpa","corymbia ptychocarpa subsp. ptychocarpa","Accepted","","(F.Muell.) K.D.Hill &","CANB 785501**","KT631479","KT630933","KT632677","KT632120"
"436","Corymbia collina","corymbia collina","Corymbia collina","Corymbia collina","corymbia collina","","Species ","D.Nicolle","1915","Phillips Range, WA",16,54,17,125,45,"54",139,12,"Dead","","","","","","","","","","","",1997,"R139/T12","Corymbia collina","corymbia collina","corymbia","collina",NA,"corymbia collina","Accepted","","(W.Fitzg.) K.D.Hill &","CANB 785553**","KT631440","KT630913","KT632644","KT632084"
"437","Eucalyptus jensenii","eucalyptus jensenii","Eucalyptus jensenii","Eucalyptus jensenii","eucalyptus jensenii","","Species ","D.Nicolle","1916","Mt Barnett, WA",16,45,51,125,51,"35",138,27,"Alive","None evident","None evident","?","","","","","","None evident","","",1997,"R138/T27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","Eucalyptus lirata","eucalyptus lirata","Eucalyptus lirata","Eucalyptus lirata","eucalyptus lirata","","Species ","D.Nicolle","1917","Mt Elizabeth Station, WA",16,28,42,126,12,"11",133,35,"Dead","","","","","","","","","","","",1997,"R133/T35","Eucalyptus lirata","eucalyptus lirata","eucalyptus","lirata",NA,"eucalyptus lirata","Accepted","","W.Fitzg. ex Maiden","CANB 784082**","FJ654424","","","KT632379"
"439","Eucalyptus tetrodonta","eucalyptus tetrodonta","Eucalyptus tetrodonta","Eucalyptus tetrodonta","eucalyptus tetrodonta","","Species ","D.Nicolle","1918","Mt Elizabeth Station, WA",16,25,22,126,12,"25",83,16,"Dead","","","","","","","","","","","",1998,"R083/T16","Eucalyptus tetrodonta","eucalyptus tetrodonta","eucalyptus","tetrodonta",NA,"eucalyptus tetrodonta","Accepted","","F.Muell.","CANB 785477**","FJ654428","AF390465","KT633167","KT632576"
"440","Eucalyptus oligantha (subsp. modica)","eucalyptus oligantha","Eucalyptus oligantha","Eucalyptus oligantha subsp. modica","eucalyptus oligantha subsp. modica","","Subspecies","D.Nicolle","1919","Mt Elizabeth Station, WA",16,23,49,126,11,"9",138,5,"Alive","None evident","None evident","?","","","","","","None evident","","",1997,"R138/T05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
