new.tip_unique.ID,node
eucalyptus_conveniens_3516,111
eucalyptus_coolabah_1355,482
eucalyptus_coolabah_2957,482
eucalyptus_coolabah_(e._barklyensis)_4186,482
eucalyptus_cooperiana_168,303
eucalyptus_cooperiana_1813,303
eucalyptus_cordata_subsp._cordata_1985,398
eucalyptus_cordata_subsp._cordata_6726,398
eucalyptus_cordata_subsp._quadrangulosa_1979,398
eucalyptus_cornuta_173,627
eucalyptus_cornuta_3748,627
eucalyptus_cornuta_4587,627
eucalyptus_cornuta_4597,627
eucalyptus_cornuta_4608,627
eucalyptus_coronata_2247,135
eucalyptus_corrugata_305,575
eucalyptus_corrugata_3483,575
eucalyptus_corticosa_770,423
eucalyptus_corticosa_6276,423
eucalyptus_corticosa_(e._conferta)_6781,423
eucalyptus_corticosa_(e._ignorabilis)_1746,423
eucalyptus_corynodes_1264,477
eucalyptus_cosmophylla_819,334
eucalyptus_cosmophylla_7236,334
eucalyptus_crebra_6170,471
eucalyptus_crebra_6453,471
eucalyptus_crebra_6495,471
eucalyptus_crenulata_1775,390
eucalyptus_creta_1102,686
eucalyptus_creta_3606,686
eucalyptus_cretata_1689,548
eucalyptus_cretata_-_e._dumosa_intergrade_5932,548
eucalyptus_croajingolensis_1744,178
eucalyptus_crucis_subsp._crucis_3681,251
eucalyptus_crucis_subsp._lanceolata_303,251
eucalyptus_crucis_subsp._lanceolata_5456,251
eucalyptus_crucis_subsp._lanceolata_5603,251
eucalyptus_crucis_subsp._praecipua_1561,251
eucalyptus_crucis_subsp._praecipua_7318,251
eucalyptus_cullenii_1322,507
eucalyptus_cunninghamii_626,188
eucalyptus_cunninghamii_2915,188
eucalyptus_cunninghamii_5868,188
eucalyptus_cuprea_3536,456
eucalyptus_cupularis_1938,338
eucalyptus_cupularis_6641,338
eucalyptus_curtisii_2108,96
eucalyptus_cyanophylla_983,552
eucalyptus_cyclostoma_125,697
eucalyptus_cylindriflora_144,630
eucalyptus_cylindrocarpa_121,613
eucalyptus_cylindrocarpa_526,613
eucalyptus_cypellocarpa_-_e._goniocalyx_intergrade_(e._carolaniae)_6787,439
eucalyptus_cypellocarpa_-_e._goniocalyx_intergrade_(e._goniocalyx_subsp._fallax)_6098,439
eucalyptus_cypellocarpa_-_e._goniocalyx_intergrade_(e._goniocalyx_subsp._laxa)_6095,439
eucalyptus_cypellocarpa_(e._oresbia)_2949,439
eucalyptus_cypellocarpa_(e._quinniorum)_2946,420
eucalyptus_dalrympleana_subsp._'howmans_gap'_4867,445
eucalyptus_dalrympleana_subsp._'tasmania'_6736,445
eucalyptus_dalrympleana_subsp._dalrympleana_579,445
eucalyptus_dalrympleana_subsp._dalrympleana_1363,445
eucalyptus_dalrympleana_subsp._heptantha_2941,445
eucalyptus_dalrympleana_subsp._heptantha_5022,445
eucalyptus_dalveenica_1252,494
