phylo.tip.label.match,new.tip_unique.ID,edge.length
eucalyptus_calcicola,eucalyptus_calcicola_subsp._unita_3757,NA
eucalyptus_calcicola,eucalyptus_calcicola_subsp._unita_3978,NA
eucalyptus_caleyi,eucalyptus_caleyi_subsp._caleyi_746,NA
eucalyptus_caleyi,eucalyptus_caleyi_subsp._caleyi_-_subsp._ovendenii_intergrade_2102,NA
eucalyptus_caleyi,eucalyptus_caleyi_subsp._ovendenii_2930,NA
eucalyptus_caliginosa,eucalyptus_caliginosa_1249,NA
eucalyptus_caliginosa,eucalyptus_caliginosa_2943,NA
eucalyptus_calycogona,eucalyptus_calycogona_subsp._calycogona_1112,NA
eucalyptus_calycogona,eucalyptus_calycogona_subsp._calycogona_3177,NA
eucalyptus_calycogona,eucalyptus_calycogona_subsp._calycogona_3829,NA
eucalyptus_calycogona,eucalyptus_calycogona_subsp._calycogona_4558,NA
eucalyptus_calycogona,eucalyptus_calycogona_subsp._miraculum_4786,NA
eucalyptus_calycogona,eucalyptus_calycogona_subsp._miraculum_4794,NA
eucalyptus_calycogona,eucalyptus_calycogona_subsp._spaffordii_949,NA
eucalyptus_calycogona,eucalyptus_calycogona_subsp._trachybasis_732,NA
eucalyptus_calycogona,eucalyptus_calycogona_subsp._trachybasis_2896,NA
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._acuta_2553,NA
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._arida_1206,NA
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._arida_2555,NA
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._arida_3523,NA
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._arida_4177,NA
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._arida_5077,NA
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._arida_5571,NA
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._camaldulensis_823,NA
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._camaldulensis_4733,NA
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._camaldulensis_5156,NA
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._minima_5233,NA
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._minima_5279,NA
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._minima_6136,NA
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._minima_6389,NA
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._obtusa_2489,NA
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._obtusa_4231,NA
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._refulgens_4258,NA
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._refulgens_5747,NA
eucalyptus_camaldulensis,eucalyptus_camaldulensis_subsp._simulata_1314,NA
eucalyptus_largeana,eucalyptus_cambageana_697,NA
eucalyptus_mckieana,eucalyptus_cameronii_662,NA
eucalyptus_mckieana,eucalyptus_cameronii_(e._mensalis)_709,NA
eucalyptus_bensonii,eucalyptus_camfieldii_2077,NA
eucalyptus_bensonii,eucalyptus_camfieldii_6794,NA
eucalyptus_andrewsii,eucalyptus_campanulata_1248,NA
eucalyptus_andrewsii,eucalyptus_campanulata_(e._montivaga)_2546,NA
eucalyptus_campaspe,eucalyptus_campaspe_332,NA
eucalyptus_campaspe,eucalyptus_campaspe_2174,NA
eucalyptus_campaspe,eucalyptus_campaspe_5660,NA
eucalyptus_camphora,eucalyptus_camphora_subsp._camphora_762,NA
eucalyptus_camphora,eucalyptus_camphora_subsp._camphora_(e._aquatica)_616,NA
eucalyptus_camphora,eucalyptus_camphora_subsp._humeana_576,NA
eucalyptus_camphora,eucalyptus_camphora_subsp._humeana_6333,NA
eucalyptus_camphora,eucalyptus_camphora_subsp._humeana_-_e._strzeleckii_intergrade_(e._bunyip)_6782,NA
eucalyptus_camphora,eucalyptus_camphora_subsp._relicta_5024,NA
eucalyptus_camphora,eucalyptus_camphora_subsp._relicta_6219,NA
eucalyptus_canaliculata,eucalyptus_canaliculata_1232,NA
eucalyptus_canescens,eucalyptus_canescens_subsp._beadellii_1506,NA
eucalyptus_canescens,eucalyptus_canescens_subsp._canescens_487,NA
eucalyptus_canobolensis,eucalyptus_canobolensis_1222,NA
eucalyptus_capillosa,eucalyptus_capillosa_300,NA
eucalyptus_capillosa,eucalyptus_capillosa_2192,NA
eucalyptus_capillosa,eucalyptus_capillosa_(e._nigrifunda)_533,NA
eucalyptus_capillosa,eucalyptus_capillosa_(e._nigrifunda)_2722,NA
eucalyptus_capillosa,eucalyptus_capillosa_(subsp._polyclada)_241,NA
eucalyptus_ceratocorys,eucalyptus_capitanea_1076,NA
eucalyptus_capitellata,eucalyptus_capitellata_640,NA
eucalyptus_capitellata,eucalyptus_capitellata_5262,NA
eucalyptus_captiosa,eucalyptus_captiosa_203,NA
eucalyptus_carnea,eucalyptus_carnea_1236,NA
eucalyptus_carnea,eucalyptus_carnea_2925,NA
eucalyptus_carnei,eucalyptus_carnei_547,NA
eucalyptus_carnei,eucalyptus_carnei_4302,NA
eucalyptus_celastroides,eucalyptus_celastroides_132,NA
